pet_type,name,gender,birthdate,size,color,avatar
cat,Princess,Female,10/06/2015,-,fawn,https://robohash.org/etrerumratione.jpg?size=100x100&set=set4
dog,Ruby,Female,11/02/2016,L,-,-,-
dog,Cookie,Female,09/16/2017,L,-,-
dog,Chester,Male,02/05/2017,L,-,-
cat,Lucy,Male,02/16/2017,-,red,https://robohash.org/sintdelenitiexpedita.bmp?size=100x100&set=set4
cat,Lucy,Female,07/27/2017,-,black,https://robohash.org/sitdoloremnisi.bmp?size=100x100&set=set4
dog,Sugar,Female,11/14/2016,L,-,-
dog,Hank,Male,01/09/2019,L,-,-
cat,Lilly,Female,12/09/2016,-,black,https://robohash.org/etrerummagnam.png?size=100x100&set=set4
cat,Baby,Female,11/17/2017,-,amber,https://robohash.org/cupiditaterepudiandaebeatae.jpg?size=100x100&set=set4
dog,Abby,Female,07/07/2015,S,-,-
cat,Rafaelita,Female,12/01/2018,-,cinnamon,https://robohash.org/expeditafugitsit.jpg?size=100x100&set=set4
cat,Stacia,Female,05/12/2017,-,red,https://robohash.org/quidelenitia.bmp?size=100x100&set=set4
dog,Boomer,Male,06/27/2017,M,-,-
cat,Sammy,Male,11/23/2016,-,red,https://robohash.org/consequunturfacilisrecusandae.bmp?size=100x100&set=set4
cat,Shadow,Male,03/12/2017,-,white,https://robohash.org/dignissimosetvoluptatem.jpg?size=100x100&set=set4
cat,Toby,Male,10/14/2016,-,cream,https://robohash.org/aimpeditrecusandae.bmp?size=100x100&set=set4
cat,Jaquith,Female,03/24/2018,-,chocolate,https://robohash.org/laudantiumfugiatnam.png?size=100x100&set=set4
cat,Barrie,Male,01/12/2018,-,white,https://robohash.org/dolorfugiatid.png?size=100x100&set=set4
dog,Penelope,Female,10/31/2018,S,-,-
dog,Winnie,Female,07/25/2018,M,-,-
dog,Lory,Female,02/24/2017,S,-,-
cat,Samuele,Male,11/29/2015,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
dog,Evered,Male,07/23/2018,S,-,-
cat,Jax,Male,01/27/2017,-,apricot,https://robohash.org/fuganondoloremque.png?size=100x100&set=set4
cat,Julissa,Female,07/22/2018,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Binnie,Female,01/10/2015,M,-,-
cat,Augusta,Female,03/20/2015,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Andre,Male,04/29/2015,-,fawn,https://robohash.org/totamdignissimosmaiores.bmp?size=100x100&set=set4
dog,Staci,Female,03/10/2015,M,-,-
cat,Blayne,Male,11/29/2017,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
dog,Ki,Female,04/13/2017,L,-,-
cat,Elsie,Female,08/22/2018,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Jaimie,Male,07/05/2018,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Godard,Male,06/18/2015,L,-,-
cat,Amos,Male,07/30/2017,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Faun,Female,09/10/2015,S,-,-
dog,Darius,Male,08/14/2016,S,-,-
cat,Glad,Female,12/01/2015,-,red,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
cat,Vivian,Female,12/12/2018,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Ainsley,Female,06/23/2017,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Amye,Female,02/22/2016,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
dog,Lanie,Female,01/08/2018,L,-,-
dog,Elizabeth,Female,03/02/2017,S,-,-
cat,Karney,Male,04/20/2016,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Gonzales,Male,07/09/2016,M,-,-
cat,Dannie,Female,05/21/2017,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Hube,Male,05/31/2018,L,-,-
cat,Hyatt,Male,11/23/2017,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
cat,Candi,Female,01/30/2018,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
dog,Sallyanne,Female,10/22/2015,L,-,-
dog,Anica,Female,01/27/2016,M,-,-
dog,Barnaby,Male,02/05/2017,L,-,-
dog,Kermit,Male,06/04/2017,M,-,-
cat,Camille,Female,03/02/2018,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Eleen,Female,05/25/2016,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Ginelle,Female,09/08/2015,-,red,https://robohash.org/exfugitaspernatur.png?size=100x100&set=set4
cat,Sissie,Female,09/02/2015,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Felizio,Male,04/19/2016,L,-,-
dog,Ennis,Male,10/26/2017,M,-,-
cat,Betteanne,Female,06/13/2015,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
dog,Nina,Female,06/20/2018,L,-,-
cat,Federica,Female,10/11/2016,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
cat,Trefor,Male,06/07/2017,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
dog,Werner,Male,07/08/2015,L,-,-
cat,Massimiliano,Male,06/20/2018,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
cat,Shane,Female,05/03/2018,-,cream,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
cat,Marlow,Male,07/10/2017,-,cream,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
dog,Gaylord,Male,08/28/2015,L,-,-
dog,Rubetta,Female,07/31/2016,L,-,-
cat,Jeanine,Female,10/26/2016,-,cream,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
cat,Elfrieda,Female,03/22/2015,-,apricot,https://robohash.org/fuganondoloremque.png?size=100x100&set=set4
dog,Drucy,Female,03/18/2017,M,-,-
dog,Berkley,Male,12/07/2015,L,-,-
dog,Bernardine,Female,01/03/2019,S,-,-
dog,Nobie,Male,01/08/2018,M,-,-
cat,Marieann,Female,02/22/2016,-,red,https://robohash.org/exfugitaspernatur.png?size=100x100&set=set4
cat,Neile,Female,05/25/2018,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
dog,Cleopatra,Female,08/28/2015,L,-,-
dog,Duane,Male,04/17/2015,M,-,-
dog,Frederica,Female,01/23/2015,S,-,-
cat,Martelle,Female,02/04/2018,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
dog,Lief,Male,11/18/2015,S,-,-
cat,Janeva,Female,06/09/2017,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Joan,Female,11/17/2015,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Dee,Female,12/30/2016,-,fawn,https://robohash.org/totamdignissimosmaiores.bmp?size=100x100&set=set4
dog,Diena,Female,03/01/2015,M,-,-
dog,Ermentrude,Female,11/09/2015,S,-,-
dog,Cindi,Female,06/02/2016,M,-,-
cat,Birdie,Female,10/31/2017,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
cat,Gilda,Female,05/24/2015,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
dog,Casper,Male,02/15/2015,S,-,-
cat,Donovan,Male,02/03/2017,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
cat,Abdel,Male,09/24/2017,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Clemente,Male,03/13/2017,-,cream,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
cat,Morgen,Female,03/07/2017,-,fawn,https://robohash.org/totamdignissimosmaiores.bmp?size=100x100&set=set4
cat,Mariam,Female,08/22/2016,-,fawn,https://robohash.org/totamdignissimosmaiores.bmp?size=100x100&set=set4
dog,Shellie,Female,04/28/2018,S,-,-
dog,Cordey,Female,02/12/2018,L,-,-
dog,Tobin,Male,05/16/2016,L,-,-